,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20
autoregression,1375.0077280087369,1381.086612583635,1385.9755226187183,1394.7942115139492,1402.7695502718618
moving average,1342.8,1349.6,1355.9,1362.2,1367.9
ARMA,1375.206141421608,1381.0969062687311,1386.1240883392334,1390.0567106426138,1393.8525647522854
TBATS,1377.1388826807352,1384.2580500249246,1391.377217369114,1398.4963847133035,1405.615552057493
autoPyTorch,1378.2244873046875,1385.6175537109375,1388.806640625,1389.37744140625,1382.9593505859375
ensemble,1371.4677404389017,1371.0980174485467,1375.1968942596936,1383.939380569468,1401.9103777876094
