,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20
autoregression,51.97936908355616,51.958356130395245,51.933984379457,51.9054347777208,51.87587018462322,51.84169367822625,51.80538193071205,51.76642868771993,51.72397529223311,51.67777221796538
moving average,52.0,52.1,52.2,52.3,52.4,52.5,52.6,52.7,52.8,52.9
ARMA,51.99723920784231,51.93621574693018,51.93352750797471,51.87610060787573,51.81387710873888,51.81814938617354,51.68596453885854,51.687504562706096,51.5909231340458,51.51301329671567
TBATS,52.00000000019691,52.00000000033586,52.000000000470735,52.00000000060165,52.00000000072873,52.00000000085209,52.00000000097183,52.00000000108806,52.00000000120089,52.00000000131041
autoPyTorch,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
